location,displayName
"{'latitude': 25.808793899999998, 'longitude': -80.3157635}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.762798300000004, 'longitude': -80.3056549}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.764536099999997, 'longitude': -80.1957966}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.8676425, 'longitude': -80.2656519}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.8916465, 'longitude': -80.1624465}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.6951325, 'longitude': -80.2999216}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.823294999999998, 'longitude': -80.2709223}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.863295299999997, 'longitude': -80.1932235}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.831703899999997, 'longitude': -80.21630669999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7892232, 'longitude': -80.14140569999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.738904299999998, 'longitude': -80.23941839999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7989176, 'longitude': -80.3377323}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.912767, 'longitude': -80.3096963}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.787398699999997, 'longitude': -80.2123027}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.8839041, 'longitude': -80.3303201}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7694467, 'longitude': -80.3305037}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.867140199999998, 'longitude': -80.3055911}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.875557699999998, 'longitude': -80.1701051}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.8777167, 'longitude': -80.2425224}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.9180554, 'longitude': -80.29248419999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
